/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 80, col 10, Warning - 'isHttpResponseLike' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 102, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 255, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 520, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/index.ts: line 450, col 34, Warning - A `require()` style import is forbidden. (@typescript-eslint/no-require-imports)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 119, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 120, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 128, col 44, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 142, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 143, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 149, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 154, col 57, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/advanced-search.ts: line 155, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 39, col 61, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 69, col 19, Warning - Unexpected lexical declaration in case block. (no-case-declarations)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 95, col 19, Warning - Unexpected lexical declaration in case block. (no-case-declarations)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 478, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 512, col 23, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/operations/batch-operations.ts: line 512, col 57, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
